nu_ano_censo;co_ies;no_ies
2022;1294;Centro Universitário das Américas
2022;1295;FACULDADE DE EDUCAÇÃO E TECNOLOGIA IRACEMA
2022;1299;FACULDADES INTEGRADAS DE FERNANDÓPOLIS
2022;1300;INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH
2022;1301;INSTITUTO MATONENSE MUNICIPAL DE ENSINO SUPERIOR
2021;1304;FACULDADE DE RIBEIRÃO PIRES
2022;1307;FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL
2022;1310;FACULDADE DE AMERICANA
2022;1311;TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS
2022;1313;FACULDADE DE SUZANO
2022;1317;Centro Universitário Sudoeste Paulista
2022;1322;FACULDADE EDUVALE DE AVARÉ
2022;1326;Faculdade Multivix Serra
2020;1336;CENTRO UNIVERSITÁRIO ASSIS GURGACZ
2022;1345;FACULDADE ANHANGUERA DE OSASCO
2022;1355;FACULDADES INTEGRADAS DE JAHU
2022;1356;CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL
2023;1359;Faculdade Multivix Nova Venécia
2022;1365;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO
2022;1373;FACULDADE CASA BRANCA
2022;1385;FACULDADES INTEGRADAS IPEP
2022;1386;FACULDADE ESAMC CAMPINAS
2022;1387;FACULDADE PENTÁGONO - FAPEN
2022;1388;CENTRO UNIVERSITÁRIO SUMARÉ
2022;1412;FACULDADE ANHANGUERA DE JUNDIAÍ
2021;1413;FACULDADE DE PRIMAVERA
2022;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS
2022;1418;Centro Universitário Toledo Wyden
2022;1420;FACULDADES DE DRACENA
2022;1422;CENTRO UNIVERSITÁRIO DO NORTE
2022;1430;CENTRO UNIVERSITÁRIO INGÁ
2022;1432;FACULDADE BERTIOGA
2022;1433;FACULDADE ORÍGENES LESSA
2022;1434;Centro Universitário de Itapira Uniesi
2019;1437;ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO
2022;1438;FACULDADES DE CAMPINAS
2020;1439;FACULDADE DE CIÊNCIAS ECONÔMICAS
2022;1444;FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA
2022;1445;CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA
2022;1446;CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN
2022;1456;FACULDADE ANHANGUERA DE SERTÃOZINHO
2021;1457;Faculdade Estácio de Cotia
2020;1463;FACULDADE DE BARUERI
2022;1465;FACULDADE DE RIBEIRÃO PRETO
2022;1472;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI
2023;1476;FACULDADE DE COMUNICAÇÃO E DESIGN OSWALDO CRUZ
2022;1478;FACULDADE ANHANGUERA DE SÃO BERNARDO
2022;1487;CENTRO UNIVERSITÁRIO UNIDOM - BOSCO
2022;1490;CENTRO UNIVERSITÁRIO DE JAGUARIÚNA
2022;1491;CENTRO UNIVERSITÁRIO INTERNACIONAL
2022;1497;FACULDADE DE ADMINISTRAÇÃO DE SANTA CRUZ DO RIO PARDO
2022;1499;FACULDADE ANHANGUERA DE TABOÃO DA SERRA
2022;1502;FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ
2022;1508;Centro Universitário Metropolitano de Maringá
2022;1510;CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA
2022;1520;FACULDADE FIA DE ADMINISTRAÇÃO E NEGÓCIOS
2022;1526;Faculdade SENAI São Paulo
2020;1538;CENTRO UNIVERSITARIO PROJEÇÃO
2022;1541;FACULDADE FLAMINGO
2022;1545;FACULDADE DE BOITUVA
2022;1554;CENTRO UNIVERSITÁRIO DO VALE DO RIBEIRA
2022;1561;FACULDADE ESAMC SOROCABA
2022;1562;FACULDADE DE ILHA SOLTEIRA
2022;1569;FACULDADES INTEGRADAS DE ARARAQUARA
2022;1575;CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ
2022;1583;FACULDADE DE TECNOLOGIA DE INDAIATUBA
2022;1584;FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ
2022;1619;FACULDADE DE OLÍMPIA
2022;1620;FACULDADE SANTA RITA
2022;1621;FACULDADE NETWORK
2019;1622;FACULDADE DO INTERIOR PAULISTA
2022;1623;FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA
2022;1624;FACULDADE MARECHAL RONDON
2019;1628;FACULDADE DE CIÊNCIAS HUMANAS DE AGUAÍ
2023;1658;CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA
2022;1659;FACULDADE ESTÁCIO DE SÁ DE OURINHOS
2022;1660;CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA
2022;1663;Centro Universitário Araguaia
2022;1690;FACULDADE DE SÃO VICENTE
2019;1692;ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE PORTO FERREIRA
2022;1693;FACULDADE ITANHAÉM
2023;1711;CENTRO UNIVERSITÁRIO DE PRESIDENTE PRUDENTE
2022;1713;FACULDADE DE TECNOLOGIA DE SÃO VICENTE
2022;1716;Centro Universitário União das Américas Descomplica
2022;1723;STRONG BUSINESS SCHOOL
2022;1725;FACULDADE XV DE AGOSTO
2022;1732;FACULDADE GENNARI E PEARTREE
2022;1742;Centro Universitário de Tecnologia Carlos Drummond de Andrade
2022;1743;FACULDADE DE TECNOLOGIA OSWALDO CRUZ
2022;1745;Faculdade Interativa de São Paulo
2022;1752;FACULDADE AUTÔNOMA DE DIREITO
2022;1756;FACULDADE ASSOCIADA BRASIL
2023;1759;Gran Centro Universitário
2022;1762;Centro Universitário de Tecnologia e Negócios Carlos Drummond de Andrade
2022;1775;Centro Universitário Favip Wyden
2022;1776;Faculdade Anhanguera de Tecnologia de Jundiaí
2022;1779;FACULDADE AIEC
2022;1781;FACULDADE INTESP
2022;1788;FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA
2022;1804;FACULDADE DE MAUÁ - FAMA
2021;1806;FACULDADE FERNÃO DIAS
2022;1810;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO
2022;1816;INSTITUTO DE ENSINO SUPERIOR DE BAURU
2022;1828;ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO
2022;1834;FACULDADE DE AGUDOS
2022;1836;CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB
2022;1838;FACULDADES INTEGRADAS RIO BRANCO
2022;1841;CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE
2022;1844;FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA
2022;1846;CENTRO UNIVERSITÁRIO DE LINS
2022;1851;ESCOLA BRASILEIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS
2022;1853;Centro Universitário UNIBTA
2022;1854;CLARETIANO - CENTRO UNIVERSITÁRIO
2021;1856;FACULDADE DO NORTE NOVO DE APUCARANA
2022;1857;FACULDADE DEHONIANA
2019;1865;Faculdade Alvorada Paulista
2022;1870;FACULDADES INTEGRADAS REGIONAIS DE AVARÉ
