linha,nome,operadora,data_pesquisa,faixa_horaria,passageiros,partidas,passageiros_viagem,tempo_viagem_min
332,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,18,34,1,34.0,44
333,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,20,15,1,15.0,42
334,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,21,12,1,12.0,42
335,Linha 75 (Quinta Bela Olinda - Centro) PF1-PF2,Grande Bauru,4/04/2013,22,12,1,12.0,42
336,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,6,34,1,34.0,38
337,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,7,36,1,36.0,40
338,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,8,4,1,4.0,43
339,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,10,15,1,15.0,43
340,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,11,26,1,26.0,44
341,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,13,25,1,25.0,44
342,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,15,8,1,8.0,31
343,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,16,12,1,12.0,34
344,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,17,17,1,17.0,37
345,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,19,6,1,6.0,33
346,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,20,12,1,12.0,42
347,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,22,22,1,22.0,42
348,Linha 75 (Quinta Bela Olinda - Centro) PF2-PF1,Grande Bauru,4/04/2013,23,10,1,10.0,42
349,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,5,99,2,49.5,42
350,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,6,51,1,51.0,40
351,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,7,137,3,45.7,45
352,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,8,27,1,27.0,41
353,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,9,40,2,20.0,37
354,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,10,53,2,26.5,40
355,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,11,112,2,56.0,46
356,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,12,84,2,42.0,57
357,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,13,34,1,34.0,42
358,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,14,44,2,22.0,37
359,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,15,31,1,31.0,37
360,Linha 77 (Tangarás-Centro) PF1-PF2,Cidade Sem Limites,16/04/2013,16,24,1,24.0,44
